,AUROC,CI_Lower_95,CI_Upper_95
Atelectasis,0.730009533617367,0.7252884263283136,0.7344124214761671
Consolidation,0.7575778712453691,0.7514182754800117,0.7633704564072977
Infiltration,0.6555791372826498,0.651276369746021,0.6596321329746243
Pneumothorax,0.6961816873296488,0.6897403185955391,0.7031311224227225
Edema,0.8193066236024578,0.8120486245357649,0.8263543094521336
Emphysema,0.6502099185192143,0.6404051354728681,0.6595453188631021
Fibrosis,0.7043191457854486,0.6922104056269468,0.7170757133293522
Effusion,0.8229720595051185,0.8197139777123802,0.826447862440474
Pneumonia,0.6974676418354839,0.6843351527403686,0.7099908084559117
Pleural_Thickening,0.7240687185566742,0.7157083423410717,0.7325646179060691
Cardiomegaly,0.8595780332555945,0.8528245669791014,0.8657655124870922
Nodule,0.6507976849916657,0.6437393393269276,0.6580709211640442
Mass,0.7671823075540718,0.7613012270989958,0.7736577050485695
Hernia,0.8042880684744799,0.7739751358789814,0.8334058741473372
