model,policy,metric,bootstrap_mean,ci_low,ci_high,n_boot_used,n_boot,unit
densenet121-res224-all,u0,macro_auroc,0.6776292582130512,0.652872617179408,0.7004015416949071,200,200,patient
densenet121-res224-all,u0,macro_auprc_ap,0.07773890616074594,0.07092764034671613,0.08646224104784385,200,200,patient
densenet121-res224-chex,u0,macro_auroc,0.6493862992900854,0.6259044861983778,0.6728429619866652,200,200,patient
densenet121-res224-chex,u0,macro_auprc_ap,0.0501393825823509,0.047238140885913465,0.05290403433355496,200,200,patient
densenet121-res224-mimic_nb,u0,macro_auroc,0.6334528218211064,0.6110828169183409,0.6547397257498156,200,200,patient
densenet121-res224-mimic_nb,u0,macro_auprc_ap,0.052104409169198174,0.04893067389362241,0.05603572105006144,200,200,patient
densenet121-res224-mimic_ch,u0,macro_auroc,0.6371555251769965,0.6143823453313679,0.6574627409021427,200,200,patient
densenet121-res224-mimic_ch,u0,macro_auprc_ap,0.055904067893297105,0.051958778799648137,0.06131069765368764,200,200,patient
densenet121-res224-nih,u0,macro_auroc,0.6496412135338869,0.6196902756512123,0.6808675731478584,200,200,patient
densenet121-res224-nih,u0,macro_auprc_ap,0.06537420963827513,0.06054654606320754,0.07035518366975657,200,200,patient
densenet121-res224-pc,u0,macro_auroc,0.7191035565961663,0.6937792495342306,0.7412595277799938,200,200,patient
densenet121-res224-pc,u0,macro_auprc_ap,0.0910538963163424,0.08386442768511111,0.09886405477730408,200,200,patient
resnet50-res512-all,u0,macro_auroc,0.6762922951729564,0.6541811332716461,0.6962695377261205,200,200,patient
resnet50-res512-all,u0,macro_auprc_ap,0.08986169763920597,0.08244046363188909,0.09633914756735024,200,200,patient
densenet121-res224-all,ignore_uncertain,macro_auroc,0.6787542482308422,0.6529796871903941,0.6971593405585521,200,200,patient
densenet121-res224-all,ignore_uncertain,macro_auprc_ap,0.0780879346758898,0.07196424801829175,0.0863375960589158,200,200,patient
densenet121-res224-chex,ignore_uncertain,macro_auroc,0.6472876778000619,0.6216298520379,0.6685026777931894,200,200,patient
densenet121-res224-chex,ignore_uncertain,macro_auprc_ap,0.04989191864227452,0.04668618431909526,0.05283744478178067,200,200,patient
densenet121-res224-mimic_nb,ignore_uncertain,macro_auroc,0.6333897615973153,0.6110437493159387,0.6558018667103203,200,200,patient
densenet121-res224-mimic_nb,ignore_uncertain,macro_auprc_ap,0.05191160910416143,0.049135322563512614,0.05505318646814344,200,200,patient
densenet121-res224-mimic_ch,ignore_uncertain,macro_auroc,0.6358343138634949,0.6134331051671795,0.6605837608764624,200,200,patient
densenet121-res224-mimic_ch,ignore_uncertain,macro_auprc_ap,0.055918163467130695,0.05225732749981418,0.060162486602121514,200,200,patient
densenet121-res224-nih,ignore_uncertain,macro_auroc,0.6526678955117862,0.6226829129328245,0.6802462966378611,200,200,patient
densenet121-res224-nih,ignore_uncertain,macro_auprc_ap,0.0656972763567605,0.06117896279416667,0.07030610935007042,200,200,patient
densenet121-res224-pc,ignore_uncertain,macro_auroc,0.7171153524162643,0.6929292309318354,0.7407307802973647,200,200,patient
densenet121-res224-pc,ignore_uncertain,macro_auprc_ap,0.09134016410753677,0.08462179681074217,0.09848122970424944,200,200,patient
resnet50-res512-all,ignore_uncertain,macro_auroc,0.6759544192385176,0.6557215340451505,0.6958482593390153,200,200,patient
resnet50-res512-all,ignore_uncertain,macro_auprc_ap,0.08998854176937522,0.08352844059571558,0.09760820412984857,200,200,patient
