model,policy,scope,n_labels,n_valid_auroc,macro_auroc,macro_auprc_ap,macro_brier,macro_ece_10bin
densenet121-res224-all,u0,valid_labels,11,11,0.6785808274876314,0.07665119499736915,0.08025138180698052,0.13639675565702505
densenet121-res224-all,u0,common_labels,7,7,0.7380660467017142,0.09647629584888144,0.07814180817640348,0.13304235855635524
densenet121-res224-chex,u0,valid_labels,10,10,0.6632195385791132,0.05154507202085103,0.1916049459315731,0.3057887047588906
densenet121-res224-chex,u0,common_labels,7,7,0.6767006760356212,0.055793687304679485,0.18241766689302605,0.28471895736494524
densenet121-res224-mimic_nb,u0,valid_labels,11,11,0.6348802065556621,0.05130377506750235,0.21843565151894911,0.3630198043847203
densenet121-res224-mimic_nb,u0,common_labels,7,7,0.6516840969967869,0.05528323468302287,0.2320785185430985,0.37292589191546427
densenet121-res224-mimic_ch,u0,valid_labels,11,11,0.6369781160684654,0.054953418269527,0.2140422847967924,0.371423566717928
densenet121-res224-mimic_ch,u0,common_labels,7,7,0.6575417955251958,0.06122076775689667,0.23024854204651013,0.39164203609724996
densenet121-res224-nih,u0,valid_labels,7,7,0.6524148900694248,0.06466369214328174,0.11141236022832303,0.19563333230552166
densenet121-res224-nih,u0,common_labels,7,7,0.6524148900694248,0.06466369214328174,0.11141236022832303,0.19563333230552166
densenet121-res224-pc,u0,valid_labels,8,8,0.7183926644323156,0.08967291353598777,0.13208910075024177,0.24729596629870843
densenet121-res224-pc,u0,common_labels,7,7,0.7411535519121014,0.10018950301551831,0.1321500485906812,0.23932959862730702
resnet50-res512-all,u0,valid_labels,9,9,0.7158209859519641,0.10586105669703769,0.0386297284216522,0.033815085531525416
resnet50-res512-all,u0,common_labels,7,7,0.733169186253291,0.10854967953460269,0.03410055987601774,0.0283300163692689
densenet121-res224-all,ignore_uncertain,valid_labels,11,11,0.6785685504044081,0.07665272391923307,0.08025807644132361,0.13640251510949314
densenet121-res224-all,ignore_uncertain,common_labels,7,7,0.7380660467017142,0.09647629584888144,0.07814180817640348,0.13304235855635524
densenet121-res224-chex,ignore_uncertain,valid_labels,10,10,0.6632119907334649,0.05154583272136942,0.19161227288955723,0.3057937194351591
densenet121-res224-chex,ignore_uncertain,common_labels,7,7,0.6767006760356212,0.055793687304679485,0.18241766689302605,0.28471895736494524
densenet121-res224-mimic_nb,ignore_uncertain,valid_labels,11,11,0.6348723774981099,0.051305534431272656,0.21843993306143303,0.3630192637770048
densenet121-res224-mimic_nb,ignore_uncertain,common_labels,7,7,0.6516840969967869,0.05528323468302287,0.2320785185430985,0.37292589191546427
densenet121-res224-mimic_ch,ignore_uncertain,valid_labels,11,11,0.6369660948698217,0.05495459446445843,0.2140512193297768,0.3714301875430635
densenet121-res224-mimic_ch,ignore_uncertain,common_labels,7,7,0.6575417955251958,0.06122076775689667,0.23024854204651013,0.39164203609724996
densenet121-res224-nih,ignore_uncertain,valid_labels,7,7,0.6524148900694248,0.06466369214328174,0.11141236022832303,0.19563333230552166
densenet121-res224-nih,ignore_uncertain,common_labels,7,7,0.6524148900694248,0.06466369214328174,0.11141236022832303,0.19563333230552166
densenet121-res224-pc,ignore_uncertain,valid_labels,8,8,0.7183926644323156,0.08967291353598777,0.13208910075024177,0.24729596629870843
densenet121-res224-pc,ignore_uncertain,common_labels,7,7,0.7411535519121014,0.10018950301551831,0.1321500485906812,0.23932959862730702
resnet50-res512-all,ignore_uncertain,valid_labels,9,9,0.7158133201002381,0.10586259291672098,0.03863367221837788,0.03381918002019394
resnet50-res512-all,ignore_uncertain,common_labels,7,7,0.733169186253291,0.10854967953460269,0.03410055987601774,0.0283300163692689
