,Threshold,Sensitivity,Specificity
Atelectasis,0.14828365,0.7921117502054231,0.548730167954902
Consolidation,0.14484465,0.7028073572120038,0.5211316198033465
Pneumothorax,0.2719048,0.90625,0.6091235319704219
Edema,0.01351841,0.8888888888888888,0.6486016834102634
Pneumonia,0.02984712,0.75,0.5829300483941927
Cardiomegaly,0.09968324,0.8733472512178149,0.6604462235827397
Lung Lesion,0.5769162,0.003683241252302026,0.9967548816650814
Fracture,0.07667891,0.8158995815899581,0.3003574374484465
Lung Opacity,0.14310391,0.7128642501776831,0.5651381540270429
Enlarged Cardiomediastinum,0.04128661,0.9166666666666666,0.43230610359258653
